Date,N,windows_1,scaled_windows_1
213,-1.7803731,141.0,0.6588785046728972
214,-2.4417796,141.0,0.6558139534883721
215,-0.9896761,141.0,0.6527777777777778
216,-0.09311053,141.0,0.6497695852534562
217,-1.9188757,141.0,0.6467889908256881
218,-2.518055,141.0,0.6438356164383562
219,-2.153822,141.0,0.6409090909090909
220,-1.6544477,141.0,0.6380090497737556
221,-2.9868333,141.0,0.6351351351351351
222,-3.167328,141.0,0.6322869955156951
223,-1.0323551,141.0,0.6294642857142857
224,-1.8606164,141.0,0.6266666666666667
225,-2.6125154,141.0,0.6238938053097345
226,-2.252663,141.0,0.6211453744493393
227,-0.7852548,141.0,0.618421052631579
228,0.13771477,141.0,0.6157205240174672
229,1.0627272,141.0,0.6130434782608696
230,-0.47563326,141.0,0.6103896103896104
231,-1.1635075,141.0,0.6077586206896551
232,-2.9063954,141.0,0.6051502145922747
233,-3.7607987,141.0,0.6025641025641025
234,-3.8245597,141.0,0.6
235,-3.7664747,141.0,0.597457627118644
236,-2.3030503,141.0,0.5949367088607594
237,-2.1963549,141.0,0.592436974789916
238,-0.28131035,141.0,0.5899581589958159
239,1.2010278,141.0,0.5875
240,0.4674205,141.0,0.5850622406639004
241,0.81045645,141.0,0.5826446280991735
242,0.27585962,141.0,0.5802469135802469
243,0.89004487,141.0,0.5778688524590164
244,1.0736856,141.0,0.5755102040816327
245,0.016219148,141.0,0.573170731707317
246,-2.9139178,141.0,0.5708502024291497
247,-3.740094,141.0,0.5685483870967742
248,-3.6782165,141.0,0.5662650602409639
249,-2.5239723,141.0,0.564
250,-1.1921343,141.0,0.5617529880478087
251,0.40512574,141.0,0.5595238095238095
252,0.3377861,141.0,0.5573122529644269
253,-0.6418215,141.0,0.5551181102362205
254,-0.7458892,141.0,0.5529411764705883
255,-2.2150528,141.0,0.55078125
256,-3.0122845,141.0,0.5486381322957199
257,-2.2317417,141.0,0.5465116279069767
258,-2.3613806,141.0,0.5444015444015444
259,-2.380193,141.0,0.5423076923076923
260,-0.40056127,141.0,0.5402298850574713
261,-1.9861597,141.0,0.5381679389312977
262,-2.0991764,141.0,0.5361216730038023
263,-2.983095,141.0,0.5340909090909091
264,-2.832339,141.0,0.5320754716981132
265,-1.6711878,141.0,0.5300751879699248
266,-0.40867886,141.0,0.5280898876404494
267,0.37849832,141.0,0.5261194029850746
268,1.0234907,141.0,0.5241635687732342
269,0.9721755,141.0,0.5222222222222223
270,1.4870064,141.0,0.5202952029520295
271,1.5201584,141.0,0.5183823529411765
272,1.144419,141.0,0.5164835164835165
273,1.4687345,141.0,0.5145985401459854
274,1.2189845,141.0,0.5127272727272727
275,-0.59419155,141.0,0.5108695652173914
276,-1.1285572,141.0,0.5090252707581228
277,-0.71782917,141.0,0.5071942446043165
278,-1.0562052,141.0,0.5053763440860215
279,-1.6974816,141.0,0.5035714285714286
280,-1.8370497,141.0,0.501779359430605
281,-1.5985676,200.0,0.7092198581560284
282,-2.4543743,200.0,0.7067137809187279
283,-0.73937196,200.0,0.704225352112676
284,0.68048126,200.0,0.7017543859649122
285,-0.71656233,200.0,0.6993006993006993
286,-2.6366005,200.0,0.6968641114982579
287,-2.4489934,200.0,0.6944444444444444
288,-1.7044246,200.0,0.6920415224913494
289,-2.0302737,200.0,0.6896551724137931
290,-1.9597229,200.0,0.6872852233676976
291,-2.1448698,200.0,0.684931506849315
292,-2.4228935,200.0,0.6825938566552902
293,-2.6791966,200.0,0.6802721088435374
294,-1.7927495,200.0,0.6779661016949152
295,-3.2152894,200.0,0.6756756756756757
296,-2.5588856,200.0,0.6734006734006734
297,-4.081078,200.0,0.6711409395973155
298,-5.856849,200.0,0.6688963210702341
299,-5.430563,200.0,0.6666666666666666
300,-5.281136,200.0,0.6644518272425249
301,-3.6741643,200.0,0.6622516556291391
302,-2.479254,200.0,0.6600660066006601
303,-2.3755987,200.0,0.6578947368421053
304,-1.7784392,200.0,0.6557377049180327
305,-1.2120821,200.0,0.6535947712418301
306,-1.0117562,200.0,0.6514657980456026
307,1.154453,200.0,0.6493506493506493
308,2.2410803,200.0,0.6472491909385113
309,2.0707839,200.0,0.6451612903225806
310,2.7200005,200.0,0.6430868167202572
311,4.911088,200.0,0.6410256410256411
312,2.2841551,200.0,0.6389776357827476
313,1.8855839,200.0,0.6369426751592356
314,0.29788426,200.0,0.6349206349206349
315,-1.2293874,200.0,0.6329113924050633
316,-2.9088268,200.0,0.6309148264984227
317,-4.1334352,200.0,0.6289308176100629
318,-1.5765424,200.0,0.6269592476489029
319,-0.8843132,200.0,0.625
320,-1.8004625,200.0,0.6230529595015576
321,-2.7345052,200.0,0.6211180124223602
322,-1.8511841,200.0,0.6191950464396285
323,-2.1754408,200.0,0.6172839506172839
324,-3.0311756,200.0,0.6153846153846154
325,-2.6164832,200.0,0.6134969325153374
326,-1.8865383,200.0,0.6116207951070336
327,-2.2992601,200.0,0.6097560975609756
328,-2.3730078,200.0,0.60790273556231
329,-1.5125022,200.0,0.6060606060606061
330,-0.79142505,200.0,0.6042296072507553
331,-0.41449347,200.0,0.6024096385542169
332,-1.1608589,200.0,0.6006006006006006
333,-3.797932,200.0,0.5988023952095808
334,-1.8979852,200.0,0.5970149253731343
335,-0.2286846,200.0,0.5952380952380952
336,-1.859995,200.0,0.5934718100890207
337,-2.0741854,200.0,0.591715976331361
338,-1.1894599,200.0,0.5899705014749262
339,-0.39732975,200.0,0.5882352941176471
340,-0.46972585,200.0,0.5865102639296188
341,0.63992304,200.0,0.5847953216374269
342,0.34409437,200.0,0.5830903790087464
343,0.0999099,200.0,0.5813953488372093
344,0.8305617,200.0,0.5797101449275363
345,0.7596956,200.0,0.5780346820809249
346,-0.82811445,200.0,0.5763688760806917
347,0.26443687,200.0,0.5747126436781609
348,-0.16398203,200.0,0.5730659025787965
349,-0.44503012,200.0,0.5714285714285714
350,0.045514494,200.0,0.5698005698005698
351,-1.5692021,200.0,0.5681818181818182
352,-1.0473346,200.0,0.56657223796034
353,0.24436074,200.0,0.5649717514124294
354,1.9433244,200.0,0.5633802816901409
355,1.9720564,200.0,0.5617977528089888
356,0.80210954,200.0,0.5602240896358543
357,1.7508736,200.0,0.5586592178770949
358,2.381824,200.0,0.5571030640668524
359,0.9310508,200.0,0.5555555555555556
